ID,ItemKey,ValueType,LimitType,EqLimit,LL,UL,PassOrFail,measureValue,ExecuteName,case,Command,Timeout,UseResult,WaitmSec,Instrument,SetVolt,SetCurr,Channel,Item,keyWord,spiltCount,splitLength
Power_3072_1_on,FT00-075,string,equality,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,12,2,,,,,
WAIT_DUT_ON,FT00-07,string,none,,,,,,Other,wait,,,,2000,,,,,,,,
SOC_CAN1,,string,partial,llcecan 1 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 1 150],60,,,,,,,,,,
CAN1,,string,partial,ID:001h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 1 1 2 2000 1,60,,,,,,,,,,
WAIT_2,,string,none,,,,,,Other,wait,,,,500,,,,,,,,
SOC_CAN2,,string,partial,llcecan 2 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 2 150],60,,,,,,,,,,
CAN2,,string,partial,ID:002h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 1 2 2 2000 1,60,,,,,,,,,,
WAIT_3,,string,none,,,,,,Other,wait,,,,500,,,,,,,,
SOC_CAN3,,string,partial,llcecan 3 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 3 150],60,,,,,,,,,,
CAN3,,string,partial,ID:003h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK_channel3_250k.py CAN 0 2 1 3 3 2000 1,60,,,,,,,,,,
WAIT_4,,string,none,,,,,,Other,wait,,,,800,,,,,,,,
SOC_CAN4,,string,partial,llcecan 4 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 4 150],60,,,,,,,,,,
CAN4,,string,partial,ID:004h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 4 2 2000 1,60,,,,,,,,,,
WAIT_5,,string,none,,,,,,Other,wait,,,,500,,,,,,,,
SOC_CAN5,,string,partial,llcecan 5 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 5 150],60,,,,,,,,,,
CAN5,,string,partial,ID:005h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 5 2 2000 1,60,,,,,,,,,,
WAIT_6,,string,none,,,,,,Other,wait,,,,500,,,,,,,,
SOC_CAN6,,string,partial,llcecan 6 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 6 150],60,,,,,,,,,,
CAN6,,string,partial,ID:006h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 6 2 2000 1,60,,,,,,,,,,
WAIT_7,,string,none,,,,,,Other,wait,,,,500,,,,,,,,
SOC_CAN7,,string,partial,llcecan 7 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 7 150],60,,,,,,,,,,
CAN7,,string,partial,ID:007h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK34.py CAN 0 2 1 7 2 2000 1,60,,,,,,,,,,
WAIT_8,,string,none,,,,,,Other,wait,,,,500,,,,,,,,
SOC_CAN8,,string,partial,llcecan 8 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 8 150],60,,,,,,,,,,
CAN8,,string,partial,ID:008h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK34.py CAN 0 2 1 8 2 2000 1,60,,,,,,,,,,
relay_lin1_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,101,clos,,,
SOC_LIN1,,string,partial,llcelin 1 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 1 150],60,,,,,,,,,,
LIN1,,string,partial,0x31,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 1 2 4 1 30 1 1500,180,,,,,,,,,,
relay_lin1_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,101,open,,,
relay_lin2_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,102,clos,,,
SOC_LIN2,,string,partial,llcelin 2 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 2 150],60,,,,,,,,,,
LIN2,,string,partial,0x32,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 1 2 4 1 30 1 1500,180,,,,,,,,,,
relay_lin2_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,102,open,,,
relay_lin3_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,103,clos,,,
SOC_LIN3,,string,partial,llcelin 3 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 3 150],60,,,,,,,,,,
LIN3,,string,partial,0x33,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 2 2 4 1 30 1 1500,180,,,,,,,,,,
relay_lin3_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,103,open,,,
