ID,ItemKey,ValueType,LimitType,EqLimit,LL,UL,PassOrFail,measureValue,ExecuteName,case,Command,Timeout,UseResult,WaitmSec,Instrument,SetVolt,SetCurr,Channel,Item,Type,keyWord,spiltCount,splitLength
Power_3072_12p0,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,12,2,,,,,,
WAIT_DUT_ON,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_18p5,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,18.5,1,,,,,,
WAIT_18p5,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_5p12,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,5.12,1,,,,,,
WAIT_5p12,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_posoff,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,0,0,,,,,,
relay_101_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,101,clos,,,,
relay_102_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,102,clos,,,,
Power_3072_nag14p0,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_2,14,1,,,,,,
WAIT_nag14p0,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_nagoff,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_2,0,0,,,,,,
relay_101_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,101,open,,,,
relay_102_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,102,open,,,,
Power_3072_1_on,FT00-075,string,equality,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,12,2,,,,,,
WAIT_Adebug,,string,none,,,,,,Other,wait,,,,2000,,,,,,,,,
Acore_debug,,string,partial,Acore completed,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[\n],10,,,,,,,,,,,
emmc_rescan,,string,partial,Acore completed,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[mmc rescan],10,,,,,,,,,,,
eMMC_FSL,,string,partial,FSL_SDHC,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[mmcinfo],10,,,,,,,,,,,
Power_3072_1_off,FT00-075,string,equality,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,0,0,,,,,,
Power_3072_1_on2,FT00-075,string,equality,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,12,2,,,,,,
WAIT_DUT_ON2,FT00-07,string,none,,,,,,Other,wait,,,,15000,,,,,,,,,
sys99,,string,partial,63ff6304,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apisys 99],10,,,,,,,,,,,
sys98,,string,partial,99.999.9,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apisys 98],10,,,,,,,,,,,
RTC,,string,partial,Pass,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\RTCcheck.py COM3,10,,,,,,,,,,,
Acore_login,,string,partial,Acore,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[root],10,,,,,,,,,,,
Acore_FW,,string,partial,5.15.85-rt55+ge59a1e8a1401,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[uname -a],10,,,,,,,,,,,
SOC_CAN1,,string,partial,llcecan 1 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 1 150],10,,,,,,,,,,,
CAN1,,string,partial,ID:001h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 1 1 2 2000 1,10,,,,,,,,,,,
WAIT_2,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
SOC_CAN2,,string,partial,llcecan 2 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 2 150],10,,,,,,,,,,,
CAN2,,string,partial,ID:002h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 1 2 2 2000 1,10,,,,,,,,,,,
WAIT_3,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
SOC_CAN3,,string,partial,llcecan 3 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 3 150],10,,,,,,,,,,,
CAN3,,string,partial,ID:003h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK_channel3_250k.py CAN 0 2 1 3 3 2000 1,10,,,,,,,,,,,
WAIT_4,,string,none,,,,,,Other,wait,,,,800,,,,,,,,,
SOC_CAN4,,string,partial,llcecan 4 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 4 150],10,,,,,,,,,,,
CAN4,,string,partial,ID:004h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 4 2 2000 1,10,,,,,,,,,,,
WAIT_5,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
SOC_CAN5,,string,partial,llcecan 5 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 5 150],10,,,,,,,,,,,
CAN5,,string,partial,ID:005h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 5 2 2000 1,10,,,,,,,,,,,
WAIT_6,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
SOC_CAN6,,string,partial,llcecan 6 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 6 150],10,,,,,,,,,,,
CAN6,,string,partial,ID:006h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 6 2 2000 1,10,,,,,,,,,,,
WAIT_7,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
SOC_CAN7,,string,partial,llcecan 7 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 7 150],10,,,,,,,,,,,
CAN7,,string,partial,ID:007h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK34.py CAN 0 2 1 7 2 2000 1,10,,,,,,,,,,,
WAIT_8,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
SOC_CAN8,,string,partial,llcecan 8 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 8 150],10,,,,,,,,,,,
CAN8,,string,partial,ID:008h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK34.py CAN 0 2 1 8 2 2000 1,10,,,,,,,,,,,
WAIT_9,,string,none,,,,,,Other,wait,,,,800,,,,,,,,,
SOC_CAN9_IOset,,string,partial,IOexp 3 set 1,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apiIOexpset 3 7 1],10,,,,,,,,,,,
SOC_CAN9,,string,partial,llcecan 9 150,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 9 150],10,,,,,,,,,,,
CAN9,,string,partial,ID:009h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK34.py CAN 0 2 1 9 2 2000 1,10,,,,,,,,,,,
relay_lin_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,103,clos,,,,
