ID,ItemKey,ValueType,LimitType,EqLimit,LL,UL,PassOrFail,measureValue,ExecuteName,case,Command,Timeout,UseResult,WaitmSec,Instrument,SetVolt,SetCurr,Channel,Item,Type,keyWord,spiltCount,splitLength
Power_3072_12p0,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,12,2,,,,,,
WAIT_DUT_ON,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_18p5,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,18.5,1,,,,,,
WAIT_18p5,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_5p12,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,5.12,1,,,,,,
WAIT_5p12,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_posoff,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,0,0,,,,,,
relay_101_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,101,clos,,,,
relay_102_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,102,clos,,,,
Power_3072_nag14p0,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_2,14,1,,,,,,
WAIT_nag14p0,,string,none,,,,,,Other,wait,,,,500,,,,,,,,,
Power_3072_nagoff,,string,partial,1,,,,,PowerSet,PSW3072,,,,,PSW3072_2,0,0,,,,,,
relay_101_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,101,open,,,,
relay_102_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,102,open,,,,
Power_3072_1_on,FT00-075,string,equality,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,12,2,,,,,,
WAIT_Adebug,,string,none,,,,,,Other,wait,,,,2000,,,,,,,,,
Acore_debug,,string,partial,Acore completed,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[\n],10,,,,,,,,,,,
emmc_rescan,,string,partial,Acore completed,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[mmc rescan],10,,,,,,,,,,,
eMMC_FSL,,string,partial,FSL_SDHC,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[mmcinfo],10,,,,,,,,,,,
Power_3072_1_off,FT00-075,string,equality,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,0,0,,,,,,
Power_3072_1_on2,FT00-075,string,equality,1,,,,,PowerSet,PSW3072,,,,,PSW3072_1,12,2,,,,,,
WAIT_DUT_ON2,FT00-07,string,none,,,,,,Other,wait,,,,15000,,,,,,,,,
sys99,,string,partial,63ff6304,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apisys 99],10,,,,,,,,,,,
sys98,,string,partial,99.999.9,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apisys 98],10,,,,,,,,,,,
Acore_login,,string,partial,Acore,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[root],10,,,,,,,,,,,
Acore_FW,,string,partial,5.15.85-rt55+gf16f2238dd5f,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART_A.py COM33 command:[uname -a],10,,,,,,,,,,,
SOC_CAN1,,string,partial,llcecan 1 20,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 1 20],10,,,,,,,,,,,
CAN1,,string,partial,ID:001h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 1 1 2 2000 1,10,,,,,,,,,,,
WAIT_2,,string,none,,,,,,Other,wait,,,,800,,,,,,,,,
SOC_CAN2,,string,partial,llcecan 2 20,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 2 20],10,,,,,,,,,,,
CAN2,,string,partial,ID:002h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 1 2 2 2000 1,10,,,,,,,,,,,
WAIT_3,,string,none,,,,,,Other,wait,,,,800,,,,,,,,,
SOC_CAN3,,string,partial,llcecan 3 20,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 3 20],10,,,,,,,,,,,
CAN3,,string,partial,ID:003h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK_channel3_250k.py CAN 0 2 1 3 3 2000 1,10,,,,,,,,,,,
WAIT_4,,string,none,,,,,,Other,wait,,,,800,,,,,,,,,
SOC_CAN4,,string,partial,llcecan 4 20,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 4 20],10,,,,,,,,,,,
CAN4,,string,partial,ID:004h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 4 2 2000 1,10,,,,,,,,,,,
WAIT_6,,string,none,,,,,,Other,wait,,,,800,,,,,,,,,
SOC_CAN6,,string,partial,llcecan 6 20,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcecan 6 20],10,,,,,,,,,,,
CAN6,,string,partial,ID:006h,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py CAN 0 2 2 6 2 2000 1,10,,,,,,,,,,,
relay_lin_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,103,clos,,,,
SOC_LIN1,,string,partial,llcelin 1 40,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 1 40],10,,,,,,,,,,,
LIN1,,string,partial,0x31,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 2 2 4 1 30 1 1500,10,,,,,,,,,,,
SOC_LIN2,,string,partial,llcelin 2 40,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 2 40],10,,,,,,,,,,,
LIN2,,string,partial,0x32,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 2 2 4 1 30 1 1500,10,,,,,,,,,,,
SOC_LIN3,,string,partial,llcelin 3 40,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[llcelin 3 40],10,,,,,,,,,,,
LIN3,,string,partial,0x33,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\PEAK_CAN\consolePEAK.py LIN 1 2 2 4 1 30 1 1500,10,,,,,,,,,,,
relay_lin_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,103,open,,,,
relay_APS_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,105,clos,,,,
APS_RH_Sensor,,string,both,,1.2,1.5,,,CommandTest,console,python .\src\lowsheen_lib\XCU\ADC.py COM3 command:[readadc 1],10,,,,,,,,,ADC_VOLT:,2,5
APS_LH_Sensor,,string,both,,1.2,1.5,,,CommandTest,console,python .\src\lowsheen_lib\XCU\ADC.py COM3 command:[readadc 0],10,,,,,,,,,ADC_VOLT:,2,5
relay_APS_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,105,open,,,,
relay_LS_OUT1_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,106,clos,,,,
LS_OUT1_L,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,231,volt,DC,,,
SOC_LS_OUT1_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apils 1 1],10,,,,,,,,,,,
